,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1380,0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,569.153277617721
1381,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,5661.7237642031505
1382,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,927.6228998934737
1383,0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1123.2420355858426
1384,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3435.0552689952265
1385,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,11159.064222111769
1386,1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,6150.970118293791
1387,0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,964.7281723413853
1388,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2468.0805525735354
1389,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9516.104922967488
1390,1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,4879.247824328453
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,13517.824214077213
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,4163.406013340715
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,4545.71860738519
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4048.5860335859966
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,738.0453342431001
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,834.7386127248006
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4746.316141083705
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,892.550153839809
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5390.438804406413
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3582.0247214657443
1401,0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2202.296921076119
1402,1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,11190.486158592683
1403,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5088.071004886571
1404,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,11906.345315300672
1405,1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5065.560096391664
1406,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,3828.1790312945063
1407,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,828.238923832345
1408,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14753.986392262435
1409,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1813.6076184278252
1410,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4627.230603835253
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,4266.907471327064
1412,0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,2152.9673299408105
1413,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1287.2408884224478
1414,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3012.547809465676
1415,0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2055.30657613077
1416,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,955.4814371744129
1417,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,4026.8122774111357
1418,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,3453.3729231131806
1419,0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,1970.5147183561503
1420,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,4854.97977346164
1421,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,1196.4714778212388
1422,0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,454.0138818917189
1423,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4209.715507174745
1424,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,962.1090744883253
1425,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,770.0945899156487
1426,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,3960.341188595602
1427,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,7007.422263172328
1428,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,8692.304877144132
1429,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4261.230691450165
1430,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,979.1968287787546
1431,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,1568.7913108978246
1432,0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,2972.958752643568
1433,0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,2709.967116214653
1434,1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,4736.688893391036
1435,1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,12140.162027843344
1436,0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,614.2926995733233
1437,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1491.5615356530584
1438,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,702.1083453802084
1439,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,8510.31406531942
1440,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2354.0954716464826
1441,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3342.7351537082727
1442,0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2429.162425430758
1443,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,545.3823273246816
1444,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,2772.8076639059536
1445,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,4370.276455863283
1446,0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1107.2469472048701
1447,1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,13124.673691323242
1448,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,6105.584178581851
1449,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,6106.0013275792835
1450,0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,422.6878993330631
1451,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,852.6438387123305
1452,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,2503.057559366093
1453,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3661.90705513432
1454,0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,786.409424178006
1455,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,16135.372449218472
1456,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,6157.457351164429
1457,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,637.8911668551547
1458,0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,1062.1097238838686
1459,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,1759.242842817005
1460,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,17508.936147003104
1461,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,632.9453374108763
1462,1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,13833.582248173689
1463,0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,430.0566124267358
1464,0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,1378.1677883041439
1465,0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,1843.8022657414658
1466,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,6407.580467068101
1467,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,851.9183676762605
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,5561.3148087581385
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,8739.973534844861
1470,0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,828.2664284133172
1471,0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,1076.3413305565236
1472,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4090.0677262330764
1473,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,575.1055344997524
1474,1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,12345.390243641623
1475,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,5379.674688291657
1476,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,1032.5512627750654
1477,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,5001.988148319497
1478,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1753.981051987536
1479,1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,4305.017425184597
1480,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,676.48080045908
1481,1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,5801.435910417411
1482,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,956.8616599533519
1483,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,3932.2306334920145
1484,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,609.0985957407901
1485,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,3991.4242870535045
1486,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,6359.461447041982
1487,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,3674.319668323532
1488,0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,947.4769830823161
1489,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1120.0847519905603
1490,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,7078.370658377793
1491,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,4267.266881520621
1492,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5206.33383417844
1493,0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,1162.8225131989154
1494,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,13243.083325299915
1495,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,8073.86812382324
1496,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,10978.707074400198
1497,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,4803.304036734379
1498,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,1977.2359381596787
1499,0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,3962.0141133442858
1500,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,663.711436195245
1501,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,3445.1102990648274
1502,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,723.3197840248176
1503,0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,1892.5724047759654
1504,0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,2588.673379478354
1505,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,5512.611627143341
1506,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,3272.085323810094
1507,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,15528.641968669051
1508,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,746.2545033263723
1509,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,988.312822358682
1510,0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,827.958649545376
1511,0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,498.1497757715826
1512,1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,12422.89077304507
1513,0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,505.4460896092071
1514,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,475.4981590717758
1515,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,1959.139248389308
1516,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,980.0002643802018
1517,0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,1383.7241839263381
1518,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,1954.7145253988401
1519,0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,2475.1906586728555
1520,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,893.7222391070254
1521,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,11340.776048161824
1522,0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,2244.696608075834
1523,1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,7736.4040864464605
1524,0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,1214.652314804861
1525,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,827.4043358712624
1526,1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,6188.071383908694
1527,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1707.7403474223302
1528,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,1909.964573850555
1529,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,13577.022676938866
1530,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,7253.281010561639
1531,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,758.4032519980093
1532,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,955.4168493855904
1533,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,4143.3665562712995
1534,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,5896.001214941072
1535,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,3020.5361405305935
1536,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,986.6193468823045
1537,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1777.370376592426
1538,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,1024.651613752772
1539,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,970.0187438617364
1540,0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,539.4082829576674
1541,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,28024.54957791741
1542,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,11996.013232146843
1543,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,9254.119933293694
1544,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,2788.327905809495
1545,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,4096.911287229026
1546,0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,1666.5224064040262
1547,0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,399.85942806659216
1548,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,1863.0017614890114
1549,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,1127.5643214773006
1550,0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,3595.795056720309
1551,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,16616.229607511636
1552,0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,2546.0773712770615
1553,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,18187.66706256723
1554,1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,8404.890332968886
1555,0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,2189.352505880782
1556,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,2743.916919997554
1557,1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,5764.220729216791
1558,1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,3547.693025654655
1559,0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,2639.575537266574
1560,0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,2127.904207299044
1561,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,14848.484246905467
1562,0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,852.5132408726515
1563,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,3699.7046149172184
1564,1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,4330.981101364311
1565,0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,1189.8978831434567
1566,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,1828.6738289073676
1567,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,796.2513825410877
1568,1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,5966.4720848991365
1569,0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,1395.30272469183
1570,1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59,13614.147141769738
1571,0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,783.6750564962805
1572,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,1990.8187517026377
1573,0.31,Good,H,VS1,64.0,59.0,4.25,4.28,2.73,556.067341779559
1574,0.4,Very Good,E,VVS2,63.6,55.0,4.67,4.7,2.98,1242.5245123248128
1575,1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,5693.543568853493
1576,0.51,Very Good,G,VVS2,63.5,56.0,5.11,5.07,3.23,1785.7427203846073
1577,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,4445.1662636566425
1578,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,612.562011842399
1579,0.3,Premium,F,SI1,62.1,60.0,4.28,4.26,2.65,507.27691568582355
1580,0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,772.6530566931224
1581,0.31,Very Good,D,SI1,62.1,58.0,4.3,4.33,2.68,569.5050675811598
1582,0.58,Ideal,G,IF,61.3,56.0,5.36,5.39,3.29,2686.781875844507
1583,0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,1347.083932468513
1584,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,472.7368374872151
1585,1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,4914.187988162473
1586,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,2060.1584671220894
1587,1.37,Premium,J,SI2,60.7,60.0,7.19,7.07,4.33,4725.191874413995
1588,2.25,Ideal,I,SI2,60.5,56.0,8.49,8.54,5.15,14735.66766104856
1589,1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,5819.877501058854
1590,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,4940.36901510511
1591,1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,10713.551542314233
1592,0.51,Very Good,G,VVS2,61.5,56.0,5.12,5.15,3.16,1752.3901867583859
1593,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,981.3424744934059
1594,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,697.7919165704997
1595,0.7,Good,D,VS2,64.1,59.0,5.56,5.49,3.54,2932.6892326812413
1596,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,6439.104614023531
1597,0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,799.3480173580864
1598,0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,1294.9779699642238
1599,1.01,Premium,F,VS2,62.8,59.0,6.41,6.33,4.0,5786.334705996518
1600,0.51,Premium,F,VS1,60.9,57.0,5.27,5.17,3.18,1835.5425735251483
1601,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,4650.685543376619
1602,0.52,Very Good,G,SI1,60.6,61.0,5.17,5.19,3.14,1302.5017858050182
1603,0.9,Ideal,G,SI1,61.9,55.0,6.18,6.23,3.84,3832.48314140238
1604,0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,1165.0220735094142
1605,0.3,Very Good,D,SI1,60.6,60.0,4.3,4.32,2.61,537.3919863204738
1606,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79,3561.681106812712
1607,1.23,Ideal,H,SI2,61.4,54.0,6.95,6.94,4.26,5335.523838226461
1608,0.56,Ideal,E,VS2,60.9,56.0,5.35,5.32,3.25,2047.2942696893915
1609,0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,465.60021457886705
1610,0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,512.7070173446444
1611,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,5266.825848906141
1612,0.53,Very Good,E,VS1,63.0,56.0,5.13,5.16,3.24,1924.5217750087547
1613,2.01,Very Good,E,SI2,62.0,61.0,8.04,8.1,5.0,15306.583125188608
1614,1.3,Premium,H,SI2,61.3,58.0,6.99,6.95,4.27,5709.008521761791
1615,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,15138.275388886415
1616,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,4374.103023929069
1617,1.0,Premium,E,SI2,58.5,59.0,6.62,6.51,3.84,4337.460127268836
1618,2.0,Premium,H,SI2,62.1,60.0,8.1,8.01,5.3,13771.321089327561
1619,0.3,Premium,D,VS2,60.9,58.0,4.35,4.32,2.64,648.1426960299493
1620,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,3658.9441518913454
1621,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,6007.977079321499
1622,1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,8137.8805101213175
1623,0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,1097.0542368216568
1624,1.09,Fair,I,SI1,56.4,62.0,6.97,6.9,3.9,4096.054641176809
1625,0.72,Ideal,G,VS1,62.7,55.0,5.71,5.68,3.57,3228.6616509168343
1626,1.07,Premium,E,SI2,61.3,59.0,6.64,6.58,4.05,4907.320546644491
1627,1.07,Premium,F,SI2,58.2,58.0,6.79,6.72,3.93,4679.60604872024
1628,0.73,Ideal,D,VS2,62.3,54.0,5.77,5.8,3.6,3480.5264996574456
1629,1.0,Very Good,H,SI2,61.6,58.0,6.43,6.47,3.97,3416.78651768278
1630,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,3915.372259807614
1631,0.9,Good,E,SI2,61.9,62.0,6.14,6.18,3.81,3236.4519299814738
1632,0.53,Ideal,F,IF,61.9,54.0,5.22,5.25,3.24,2438.752421985779
1633,0.98,Fair,G,I1,58.7,57.0,6.54,6.43,3.8,2339.6448024698993
1634,0.37,Ideal,H,SI1,59.7,56.0,4.71,4.67,2.8,677.0277081990328
1635,0.36,Premium,G,VS1,59.7,59.0,4.61,4.64,2.76,854.8472838663937
1636,1.86,Premium,H,SI2,62.3,57.0,7.85,7.82,4.88,11258.690942183592
1637,0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,820.0397266634011
1638,0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,1683.2607875985846
1639,2.01,Premium,H,SI1,58.2,62.0,8.26,8.21,4.79,15874.957338840832
1640,0.78,Very Good,H,VS1,61.9,57.1,5.87,5.95,3.66,3286.574180411498
1641,0.32,Premium,D,SI1,60.4,58.0,4.44,4.47,2.69,630.9472892164779
1642,0.43,Very Good,F,VS2,61.2,59.0,4.84,4.87,2.97,1111.2847261092356
1643,1.02,Premium,H,VS2,61.0,58.0,6.56,6.49,3.98,5182.222171020443
1644,0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,1658.9075735072506
1645,0.32,Good,H,SI1,63.4,55.0,4.36,4.38,2.77,468.62011478074413
1646,1.15,Premium,G,SI1,62.6,58.0,6.71,6.65,4.18,6049.552514047061
1647,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,7042.51480805095
1648,1.02,Very Good,J,SI2,63.4,56.0,6.42,6.36,4.05,2634.28004392305
1649,1.02,Premium,F,VS1,61.9,58.0,6.45,6.5,4.01,6504.660647228239
1650,0.71,Ideal,E,VVS2,62.0,53.9,5.73,5.77,3.57,3856.6070526747912
1651,0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74,705.9493935278197
1652,0.7,Ideal,I,SI1,62.5,55.0,5.7,5.73,3.57,1991.6114459187422
1653,0.7,Ideal,J,SI2,61.4,55.0,5.72,5.75,3.52,1344.8845150483107
1654,2.04,Ideal,I,SI1,60.2,56.0,8.19,8.26,4.95,14756.73987000467
1655,0.52,Very Good,G,SI1,61.7,57.0,5.13,5.16,3.17,1293.8980946500371
1656,0.41,Very Good,E,SI1,61.4,56.0,4.77,4.81,2.94,931.3070681358827
1657,2.5,Premium,H,I1,59.9,60.0,8.75,8.67,5.22,14022.076583140204
1658,0.31,Premium,E,VS1,60.2,58.0,4.43,4.38,2.65,739.2014951045546
1659,1.27,Very Good,I,VS2,63.3,63.0,6.87,6.82,4.33,6707.559477586891
1660,0.63,Premium,H,VS1,61.7,59.0,5.53,5.49,3.4,2305.3494131424395
1661,0.4,Premium,E,SI1,61.0,59.0,4.71,4.74,2.88,904.1534735596924
1662,0.91,Very Good,G,SI1,60.2,58.0,6.29,6.31,3.79,3770.9768566612133
1663,0.31,Very Good,E,SI1,62.8,57.0,4.32,4.34,2.72,553.6045146046769
1664,1.2,Premium,G,VS1,62.5,59.0,6.72,6.64,4.19,8243.974694176206
1665,1.5,Ideal,G,VS1,61.3,53.9,7.37,7.42,4.53,12866.550684301288
1666,0.77,Good,D,SI2,63.8,58.0,5.78,5.81,3.7,2526.255926773151
1667,0.27,Very Good,F,VS1,60.5,57.0,4.21,4.23,2.55,522.949220361273
1668,2.0,Ideal,H,SI1,63.9,54.0,7.92,8.0,5.1,15816.23152370612
1669,0.34,Ideal,E,VS1,62.8,56.0,4.46,4.49,2.81,881.9316571950488
1670,0.3,Ideal,E,VS2,62.3,57.0,4.32,4.29,2.68,634.5180559265007
1671,0.32,Ideal,E,VS2,62.0,55.0,4.38,4.46,2.74,700.9022940462377
1672,0.71,Very Good,D,SI1,63.2,58.0,5.65,5.68,3.58,2732.8724149138197
1673,0.35,Ideal,H,VVS2,59.2,56.0,4.6,4.65,2.74,836.8262906831666
1674,1.53,Premium,H,VS2,59.8,58.0,7.49,7.52,4.49,10915.351486830292
1675,1.06,Ideal,I,SI2,61.3,56.0,6.59,6.55,4.03,3593.1518454146167
1676,0.24,Good,F,VS1,58.3,61.0,4.09,4.14,2.4,402.657385537061
1677,0.41,Very Good,E,SI1,63.1,57.0,4.73,4.71,2.98,938.7389870518554
1678,0.9,Very Good,D,SI1,59.4,62.0,6.19,6.24,3.69,4201.826127556525
1679,1.38,Premium,H,SI2,60.2,60.0,7.31,7.24,4.37,6585.224796068289
1680,0.31,Very Good,G,VS2,62.6,57.0,4.3,4.32,2.7,563.1008487112468
1681,1.02,Premium,I,SI2,61.2,59.0,6.51,6.46,3.97,3284.90151410946
1682,0.83,Ideal,I,SI1,61.9,57.0,5.96,6.02,3.71,2680.3317196610856
1683,1.02,Premium,F,SI2,62.0,59.0,6.42,6.33,3.95,4175.506624913644
