,carat,cut,color,clarity,depth,table,x,y,z,clarity_mod,color_mod,cut_mod,price_predicted
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,3,2,3,11561.829423668833
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,3,3,2,4402.766255513215
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,1,3,4,5334.807883946916
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4,5,2,4570.770794147265
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,3,6,4,928.413683900083
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,7,4,4,2114.0149893099906
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,2,3,3,5056.6568296756695
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,5,6,4,1956.313741509166
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,3,2,3,5403.580773330463
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,2,2,4,3781.904407848988
1401,0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,6,3,4,3090.303659402125
1402,1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,2,5,4,10255.541673297312
1403,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,2,6,1,5691.360932400385
1404,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,1,4,4,11894.394347981874
1405,1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,3,4,0,5390.6901036012405
1406,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,1,2,4,4463.541261758937
1407,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,6,5,4,2006.1087706763637
1408,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,1,3,4,14108.346850983218
1409,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,6,1,3,2237.5963835712582
1410,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,1,6,3,5472.290054416504
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,0,1,0,7449.314187523454
1412,0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,4,5,2,2521.944798009021
1413,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,3,3,3,880.4202473549994
1414,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,1,3,2,3470.4894044513294
1415,0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,3,5,3,2362.062604530457
1416,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,5,3,4,1254.8576425322117
1417,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,3,2,3,4100.869055312479
1418,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,3,4,1,3663.2585830015087
1419,0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,5,5,4,2949.799834478409
1420,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,2,1,2,5545.348557656101
1421,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,1,3,4,553.5372363204478
1422,0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,5,5,3,844.8322484168211
1423,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,1,6,3,5013.2794247233915
1424,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,3,5,4,1020.4301185157756
1425,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,5,3,4,975.2883812578834
1426,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,5,6,4,5017.8375898052045
1427,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,4,4,3,6617.793125004199
1428,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,5,3,3,7790.235690814385
1429,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,2,6,2,4790.950763414934
1430,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,3,4,1,519.9230479233493
1431,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,1,1,2,1204.6797051405283
1432,0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,4,2,2,3197.175162009071
1433,0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,4,1,3,2838.1186901272895
1434,1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,1,2,4,5669.495882574972
1435,1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,4,2,0,9377.346242716845
1436,0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,3,6,2,461.16192697560655
1437,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1,4,4,1257.2938193079126
1438,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,3,6,2,646.9653902564041
1439,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,2,1,4,8965.589432157287
1440,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2,3,3,2169.819339708655
1441,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,1,5,4,4112.682537370241
1442,0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2,3,4,2361.1802649789906
1443,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,6,4,4,1309.878624160835
1444,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,3,4,2,2921.3656568113392
1445,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,1,3,4,5146.901234413683
1446,0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,7,3,0,2103.1466466438096
1447,1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,3,4,4,10943.51060047837
1448,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,3,1,4,6479.877813049202
1449,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,2,2,3,6434.067402387096
1450,0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,4,1,4,-506.13491673104727
1451,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,5,2,4,737.5844079238623
1452,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,3,2,4,2603.141017149941
1453,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3,1,3,3813.7319236920466
1454,0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,3,6,4,926.8383459961942
1455,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,2,1,3,14807.305374190839
1456,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,3,1,3,6489.342656235086
1457,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,6,2,2,729.9902147989005
1458,0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,2,1,4,146.3091791152783
1459,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,3,3,4,1687.8897282244207
1460,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,3,2,2,14324.617214182825
1461,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,5,2,4,479.91408826609586
1462,1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,2,6,3,11839.664102669174
1463,0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,3,4,2,-428.12296794353733
1464,0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,4,6,4,2139.729000698672
1465,0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,5,4,3,2446.710344089958
1466,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,3,3,4,6303.411080130435
1467,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,2,3,3,-29.8936635777809
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,2,4,3,5753.297667889016
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,2,4,0,9473.429343181466
1470,0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,3,4,2,449.50258689867314
1471,0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,3,6,2,1168.0813072727724
1472,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,2,5,2,4455.821966860564
1473,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,2,2,2,-860.1230098824853
1474,1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,3,5,2,10572.14203317059
1475,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,2,3,3,5614.302254107618
1476,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,4,4,4,1208.8527627328167
1477,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,3,1,4,5399.165009250212
1478,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,3,5,4,1966.4617706806803
1479,1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,2,4,0,4701.591313357322
1480,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,3,4,4,370.16267141847675
1481,1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,3,4,3,5831.77919872277
1482,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,3,2,3,179.02537880214413
1483,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,1,3,3,4528.333177357035
1484,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,3,4,2,-145.41448640814178
1485,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,2,5,1,4289.036026192569
1486,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,3,4,4,6365.331477763217
1487,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,2,4,1,4325.501593121497
1488,0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,5,6,4,2016.8735423695025
1489,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,4,5,2,1522.3688732349074
1490,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,1,3,4,7792.973358942316
1491,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,7,4,4,5403.988048535618
1492,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,3,1,4,5572.678161949712
1493,0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,7,5,3,2685.1133121574076
1494,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,1,2,3,13554.173887432302
1495,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,1,0,1,11414.663827831779
1496,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,3,2,4,9997.133694084227
1497,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,2,3,4,5106.276555856252
1498,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,4,3,4,2342.86686129586
1499,0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,1,5,3,4531.807050623629
1500,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,2,5,2,-94.39934941249612
1501,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,2,5,4,3952.3460844622577
1502,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,4,6,4,1314.3547123428943
1503,0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,3,5,4,2215.996279357719
1504,0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,3,3,1,2502.994471504766
1505,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,3,4,2,5731.16420514298
1506,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,1,1,4,4000.7010851288915
1507,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,3,1,2,14059.951119049556
1508,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,4,3,4,476.13555664504656
1509,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,2,3,4,272.5462901511205
1510,0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,6,5,2,1693.398883846212
1511,0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,5,3,2,251.4702592107942
1512,1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,2,5,4,11025.811774396761
1513,0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,1,5,4,-395.2605247170677
1514,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,2,3,1,-1088.2046655645809
1515,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,1,2,2,1802.9449500376463
1516,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,5,2,2,826.3021282488012
1517,0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,5,5,4,2208.1433307459465
1518,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,7,1,4,3021.0185419086547
1519,0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,5,6,4,3672.389497316367
1520,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,6,2,4,1291.5741051200202
1521,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,1,3,2,11890.281341176842
1522,0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,4,0,4,2595.859125053322
1523,1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,2,1,1,8711.57376102105
1524,0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,6,4,1,1942.9003965217862
1525,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,7,4,3,1947.0447869527898
1526,1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,2,2,4,6495.369850524629
1527,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,3,4,0,1533.0881699365714
1528,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,5,2,4,2256.4049850265255
1529,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,4,3,4,11087.089438667448
1530,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,1,6,1,8015.137905359082
1531,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,3,2,3,-189.65993659008564
1532,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,3,6,3,1134.5033706252575
1533,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,1,4,4,4983.752486930688
1534,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,1,6,2,6916.904670008088
1535,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,2,1,2,3287.531930577083
1536,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,7,5,4,2569.2155452984225
1537,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,4,0,1,1711.9647196069245
1538,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,3,6,1,1075.326414713969
1539,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,7,3,2,1859.1342024601172
1540,0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,5,5,4,1096.803040883331
1541,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,4,2,3,18544.0475488301
1542,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,2,0,3,13457.17822374761
1543,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,6,5,4,8390.025461960722
1544,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,2,5,4,3136.940880580354
1545,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,1,4,3,4759.960212600097
1546,0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,3,1,2,1225.1095230334804
1547,0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,2,1,4,-1333.29976760936
1548,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,6,4,4,2991.728909819886
1549,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,2,6,4,1213.2757650833228
1550,0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,4,6,3,4170.283982749452
1551,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,2,1,4,15424.45261520715
1552,0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,3,3,1,2414.514472963676
1553,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,4,4,4,13026.494041796966
1554,1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,4,0,2,9353.004082878037
1555,0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,2,1,3,2015.6272494679079
1556,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,3,4,1,2844.49462042063
1557,1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,4,3,2,5816.975484351899
1558,1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,1,2,1,3958.5002782264287
1559,0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,2,5,3,2941.8242153947267
1560,0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,6,5,4,3390.8325572999856
1561,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,1,2,3,14777.26180810947
1562,0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,5,3,4,1122.2208329535088
1563,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,5,1,2,4259.497251487048
1564,1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,1,6,2,5282.134690653244
1565,0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,1,5,3,847.605573700579
1566,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,2,6,4,2213.950739610212
1567,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,3,4,4,519.2322100774472
1568,1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,2,6,3,6182.313397751935
1569,0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,3,5,4,1586.9601377519934
1570,1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59,4,3,3,10809.828776556646
1571,0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,6,4,4,1655.6332743291578
1572,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,1,3,4,1963.010368017241
1573,0.31,Good,H,VS1,64.0,59.0,4.25,4.28,2.73,4,2,1,-476.56564437242923
1574,0.4,Very Good,E,VVS2,63.6,55.0,4.67,4.7,2.98,5,5,2,1856.6926552029345
1575,1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,2,6,4,6076.421278299769
1576,0.51,Very Good,G,VVS2,63.5,56.0,5.11,5.07,3.23,5,3,2,1995.5456587270337
1577,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,3,6,0,5130.247759572356
1578,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,2,5,3,-58.75182252733066
1579,0.3,Premium,F,SI1,62.1,60.0,4.28,4.26,2.65,2,4,3,-596.264256117036
1580,0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,2,0,4,-410.64897982730145
1581,0.31,Very Good,D,SI1,62.1,58.0,4.3,4.33,2.68,2,6,2,73.42218536940072
1582,0.58,Ideal,G,IF,61.3,56.0,5.36,5.39,3.29,7,3,4,3957.9075171383847
1583,0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,6,4,4,2358.019912493074
1584,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,6,5,2,1267.1629610171385
1585,1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,2,1,4,5654.076311945333
1586,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,3,4,3,2072.9042116674477
1587,1.37,Premium,J,SI2,60.7,60.0,7.19,7.07,4.33,1,0,3,6737.187238950213
1588,2.25,Ideal,I,SI2,60.5,56.0,8.49,8.54,5.15,1,1,4,15664.827242228755
1589,1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,2,4,4,6178.828203011357
1590,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,2,4,2,5009.385471238228
1591,1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,1,6,3,10757.737598738528
1592,0.51,Very Good,G,VVS2,61.5,56.0,5.12,5.15,3.16,5,3,2,2153.0427291841916
1593,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,1,2,3,-133.60160258241194
1594,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,3,5,4,625.7033719509709
1595,0.7,Good,D,VS2,64.1,59.0,5.56,5.49,3.54,3,6,1,3372.9039999041424
1596,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,1,5,3,7205.198724468771
1597,0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,4,0,1,-97.53160725135422
1598,0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,4,6,2,1882.461395542001
1599,1.01,Premium,F,VS2,62.8,59.0,6.41,6.33,4.0,3,4,3,5679.078886193366
1600,0.51,Premium,F,VS1,60.9,57.0,5.27,5.17,3.18,4,4,3,1986.063078896264
1601,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,2,5,0,4783.706866043311
1602,0.52,Very Good,G,SI1,60.6,61.0,5.17,5.19,3.14,2,3,2,659.411555106235
1603,0.9,Ideal,G,SI1,61.9,55.0,6.18,6.23,3.84,2,3,4,4171.357923616532
1604,0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,4,3,4,1224.1097238677467
1605,0.3,Very Good,D,SI1,60.6,60.0,4.3,4.32,2.61,2,6,2,36.32586810164457
1606,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79,1,4,3,4081.2344889900946
1607,1.23,Ideal,H,SI2,61.4,54.0,6.95,6.94,4.26,1,2,4,6303.88096215099
1608,0.56,Ideal,E,VS2,60.9,56.0,5.35,5.32,3.25,3,5,4,2426.2989544541388
1609,0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,2,2,1,-1354.0066079709823
1610,0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,6,4,4,1333.8894598024635
1611,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,1,6,3,6217.415293672267
1612,0.53,Very Good,E,VS1,63.0,56.0,5.13,5.16,3.24,4,5,2,2382.1849487355285
1613,2.01,Very Good,E,SI2,62.0,61.0,8.04,8.1,5.0,1,5,2,14264.489844205835
1614,1.3,Premium,H,SI2,61.3,58.0,6.99,6.95,4.27,1,2,3,6806.541063017692
1615,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,2,2,2,13832.281220057972
1616,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,1,6,1,5202.338754563305
1617,1.0,Premium,E,SI2,58.5,59.0,6.62,6.51,3.84,1,5,3,5066.462512620121
1618,2.0,Premium,H,SI2,62.1,60.0,8.1,8.01,5.3,1,2,3,13260.664168900757
1619,0.3,Premium,D,VS2,60.9,58.0,4.35,4.32,2.64,3,6,3,640.0593037980216
1620,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,5,5,2,4332.088044015144
1621,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,4,3,4,6035.960278833198
1622,1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,4,4,1,7775.915270571271
1623,0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,3,3,3,570.7414105632552
1624,1.09,Fair,I,SI1,56.4,62.0,6.97,6.9,3.9,2,1,0,4678.56964717564
1625,0.72,Ideal,G,VS1,62.7,55.0,5.71,5.68,3.57,4,3,4,3571.3260733664583
1626,1.07,Premium,E,SI2,61.3,59.0,6.64,6.58,4.05,1,5,3,5573.238144439325
1627,1.07,Premium,F,SI2,58.2,58.0,6.79,6.72,3.93,1,4,3,5402.826450540965
1628,0.73,Ideal,D,VS2,62.3,54.0,5.77,5.8,3.6,3,6,4,4156.447588548042
1629,1.0,Very Good,H,SI2,61.6,58.0,6.43,6.47,3.97,1,2,2,3915.0522662116537
1630,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,4,6,3,4521.499595689034
1631,0.9,Good,E,SI2,61.9,62.0,6.14,6.18,3.81,1,5,1,3808.081871448548
1632,0.53,Ideal,F,IF,61.9,54.0,5.22,5.25,3.24,7,4,4,3865.8956745982014
1633,0.98,Fair,G,I1,58.7,57.0,6.54,6.43,3.8,0,3,0,3448.6377273890575
1634,0.37,Ideal,H,SI1,59.7,56.0,4.71,4.67,2.8,2,2,4,-438.9570858119514
1635,0.36,Premium,G,VS1,59.7,59.0,4.61,4.64,2.76,4,3,3,667.143733464181
1636,1.86,Premium,H,SI2,62.3,57.0,7.85,7.82,4.88,1,2,3,12040.607600720576
1637,0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,2,3,3,-156.33756459972392
1638,0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,2,4,4,1606.960498219658
1639,2.01,Premium,H,SI1,58.2,62.0,8.26,8.21,4.79,2,2,3,14013.098616676572
1640,0.78,Very Good,H,VS1,61.9,57.1,5.87,5.95,3.66,4,2,2,3529.846424926158
1641,0.32,Premium,D,SI1,60.4,58.0,4.44,4.47,2.69,2,6,3,319.8008141347773
1642,0.43,Very Good,F,VS2,61.2,59.0,4.84,4.87,2.97,3,4,2,801.6757201199289
1643,1.02,Premium,H,VS2,61.0,58.0,6.56,6.49,3.98,3,2,3,5186.112670060677
1644,0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,4,3,2,1795.9551991932412
1645,0.32,Good,H,SI1,63.4,55.0,4.36,4.38,2.77,2,2,1,-1311.7278393117758
1646,1.15,Premium,G,SI1,62.6,58.0,6.71,6.65,4.18,2,3,3,6147.745378768994
1647,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,5,4,3,6720.482871913682
1648,1.02,Very Good,J,SI2,63.4,56.0,6.42,6.36,4.05,1,0,2,3393.969809815354
1649,1.02,Premium,F,VS1,61.9,58.0,6.45,6.5,4.01,4,4,3,6356.411476452029
1650,0.71,Ideal,E,VVS2,62.0,53.9,5.73,5.77,3.57,5,5,4,4680.836745636574
1651,0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74,3,5,4,599.7008584551045
1652,0.7,Ideal,I,SI1,62.5,55.0,5.7,5.73,3.57,2,1,4,1735.3651752367405
1653,0.7,Ideal,J,SI2,61.4,55.0,5.72,5.75,3.52,1,0,4,985.1822597673386
1654,2.04,Ideal,I,SI1,60.2,56.0,8.19,8.26,4.95,2,1,4,14187.194417086555
1655,0.52,Very Good,G,SI1,61.7,57.0,5.13,5.16,3.17,2,3,2,708.273401048124
1656,0.41,Very Good,E,SI1,61.4,56.0,4.77,4.81,2.94,2,5,2,531.3033873927857
1657,2.5,Premium,H,I1,59.9,60.0,8.75,8.67,5.22,0,2,3,17778.650432722217
1658,0.31,Premium,E,VS1,60.2,58.0,4.43,4.38,2.65,4,5,3,913.0788736567174
